cat_category,category_avg
Honey,5.0
Nicaraguan,4.634920634920635
Cooking Schools,4.623655913978495
Kiosk,4.619047619047619
Conveyor Belt Sushi,4.591616766467066
Sports Bars,3.4531277614603235
Hotels,3.414754620777565
Cinema,3.3335212855934593
Resorts,3.1785500299580587
Fast Food,3.0228458309421407
